No, Time, GPS Latitude, GPS Longitude, GPS Accuracy, Speed
0,213584.320595626,-33.91797466,151.23156049,12.0,0.0
1,213585.326023643,-33.91797435,151.2315597,10.0,0.0
2,213586.324135878,-33.91797444,151.23155811,8.0,0.0
3,213587.321091185,-33.9179757,151.23155691,7.0,0.0
4,213588.326412223,-33.91797695,151.23155622,6.0,0.0
5,213589.325379822,-33.91797823,151.23155524,6.0,0.0
6,213590.326142682,-33.91797946,151.23155488,6.0,0.0
7,213591.325450907,-33.91797897,151.23155569,5.0,0.0
8,213592.325873455,-33.91797902,151.23155598,5.0,0.0
9,213593.322579543,-33.91797721,151.23155828,4.0,0.17
10,213594.323859799,-33.91797641,151.23155645,4.0,0.35735136
11,213595.326524066,-33.91797567,151.23155071,3.0,0.78
12,213596.316025415,-33.91797603,151.23154115,3.0,0.87132084
13,213597.312857545,-33.91797846,151.23153095,3.0,0.83150464
14,213598.311212905,-33.91798201,151.2315185,3.0,0.85
15,213599.312622276,-33.917983,151.2315091,3.0,0.8908984
16,213600.321163678,-33.91798246,151.2315005,3.0,0.9502105
17,213601.322344403,-33.91798255,151.23148922,3.0,1.0004499
18,213602.319136013,-33.9179823,151.23147837,3.0,0.9604686
19,213603.329588926,-33.91798133,151.23146666,3.0,1.1104053
20,213605.32994376,-33.91797529,151.23144471,3.0,1.0630145
21,213606.328131151,-33.91797207,151.23143217,3.0,1.1562439
22,213607.328467449,-33.91796906,151.23141911,3.0,1.0630145
23,213608.334307914,-33.91796491,151.23140695,3.0,1.17
24,213609.326557336,-33.91796125,151.2313952,3.0,0.99045444
25,213610.334245665,-33.91795804,151.23138467,3.0,0.94047856
26,213611.332331494,-33.91795484,151.23137246,3.0,1.1403947
27,213612.326649353,-33.91795302,151.23135917,3.0,1.0606601
28,213613.330678307,-33.91795394,151.23134516,3.0,1.0438869
29,213614.328641167,-33.91795482,151.23132876,3.0,1.2824975
30,213615.329502986,-33.91795478,151.23131228,3.0,1.1500435
31,213616.326857304,-33.91795454,151.2312974,3.0,1.1335784
32,213617.329773445,-33.91795403,151.23128243,3.0,1.16
33,213618.33426891,-33.91795351,151.23126931,3.0,1.0017984
34,213619.33825,-33.91795351,151.23125702,3.0,1.121606
35,213620.327150775,-33.91795313,151.23124387,3.0,1.11
36,213621.324247333,-33.91795276,151.23123069,3.0,1.12
37,213622.32427238,-33.91795207,151.23121788,3.0,1.0282508
38,213623.327197897,-33.91795109,151.23120671,3.0,0.8786353
39,213624.329777476,-33.91794927,151.23119404,3.0,1.1701709
40,213625.328172628,-33.91794708,151.23118151,3.0,1.0159724
41,213626.327841269,-33.91794554,151.2311693,3.0,1.014002
42,213627.328947202,-33.91794403,151.23115772,3.0,1.0504284
43,213628.330874229,-33.9179428,151.23114531,3.0,1.0801852
44,213629.333018495,-33.91794113,151.23113352,3.0,1.0601885
45,213630.328767605,-33.91793885,151.23112225,3.0,1.0744766
46,213631.323963902,-33.91793667,151.2311107,3.0,1.0932978
47,213632.327503429,-33.91793512,151.23110122,3.0,0.79101205
48,213633.325694101,-33.91793413,151.23109428,3.0,0.44407207
49,213634.327367847,-33.91793315,151.2310887,3.0,0.6685058
50,213635.326059822,-33.91793137,151.2310823,3.0,0.76896036
51,213636.328678828,-33.91792778,151.23107336,3.0,1.0
52,213637.329192469,-33.91792396,151.23106296,3.0,0.990404
53,213638.330822673,-33.91791985,151.2310523,3.0,0.9464143
54,213639.335710585,-33.91791407,151.23104093,3.0,1.2414508
55,213640.329789018,-33.91790781,151.2310282,3.0,1.1643023
56,213641.328078961,-33.91790128,151.23101775,3.0,1.067052
57,213642.328110102,-33.91789334,151.23100914,3.0,1.1795762
58,213643.326211243,-33.9178875,151.23100047,4.0,1.0557461
59,213644.324987124,-33.9178827,151.23099235,4.0,0.95131487
60,213645.326135661,-33.91787869,151.23098395,4.0,0.95131487
61,213646.325984355,-33.91787658,151.23097468,4.0,0.9222798
62,213647.325623204,-33.9178742,151.23096441,4.0,0.91678786
63,213648.329816273,-33.91787139,151.23095438,4.0,0.8736704
64,213649.337556217,-33.91786711,151.23094416,4.0,1.0417293
65,213650.33308465,-33.91786136,151.23093592,4.0,0.8994442
66,213651.32768829,-33.91785671,151.23092826,4.0,0.7940403
67,213652.332485786,-33.91785216,151.23092085,4.0,0.79849863
68,213653.331188751,-33.91784706,151.23091154,4.0,1.040769
69,213654.326365829,-33.91784108,151.23090096,4.0,1.040769
70,213655.327825512,-33.91783521,151.23088987,4.0,1.06
71,213656.326842174,-33.91782755,151.23087937,4.0,1.1941943
72,213657.327536753,-33.91782055,151.23086976,4.0,0.8984431
73,213658.333044509,-33.91781424,151.2308612,4.0,0.9277931
74,213659.331761275,-33.91780947,151.23085168,4.0,0.930215
75,213660.333260386,-33.91780558,151.23084268,5.0,0.75802374
76,213661.329319287,-33.9178014,151.23083405,5.0,0.90448874
77,213662.330319178,-33.91779743,151.23082632,5.0,0.72917765
78,213663.337486102,-33.91779389,151.23082069,5.0,0.74464756
79,213665.331229477,-33.91779007,151.23080423,5.0,0.74525166
80,213666.331139993,-33.91779019,151.23079612,5.0,0.70830786
81,213667.328570926,-33.91779182,151.23078571,5.0,0.8612781
82,213668.327063474,-33.91779411,151.23077395,5.0,0.8807383
83,213669.332213209,-33.91779661,151.23076252,5.0,0.7808969
84,213670.332279923,-33.91779948,151.23075007,5.0,0.84214014
85,213671.328522054,-33.91780206,151.23073895,5.0,0.7454529
86,213672.327827726,-33.9178021,151.23072826,5.0,0.87005746
87,213673.325960065,-33.91780043,151.23071737,5.0,0.9831073
88,213674.327595634,-33.91779861,151.23070689,5.0,0.9192388
89,213675.324717504,-33.91779844,151.23069601,5.0,0.88566357
90,213676.325379427,-33.91779898,151.23068461,4.0,0.80006254
91,213677.326023745,-33.91779997,151.23067182,4.0,0.930215
92,213678.325991865,-33.91780043,151.23065881,5.0,0.87572825
93,213679.324803059,-33.91780093,151.23064615,5.0,0.9100549
94,213680.325740554,-33.91780126,151.23063379,5.0,0.91443974
95,213681.328516331,-33.91780056,151.23062094,5.0,1.020441
96,213682.328948879,-33.91779976,151.23060937,5.0,0.8302409
97,213683.329660906,-33.91779921,151.23059809,5.0,0.8746428
98,213684.328420849,-33.91779722,151.23058645,4.0,1.0117806
99,213685.328400688,-33.9177952,151.23057431,5.0,0.9476286
100,213686.328383027,-33.91779361,151.23056297,5.0,0.8984431
101,213687.326570054,-33.91779154,151.23055151,5.0,0.95257545
102,213688.325584841,-33.91779015,151.23054001,5.0,0.79511005
103,213689.326584211,-33.91779008,151.23052909,5.0,0.7665507
104,213690.329875926,-33.91778975,151.23051809,5.0,0.8050466
105,213691.329824671,-33.91778954,151.23050727,5.0,0.8036168
106,213692.330998,-33.91778872,151.23049698,5.0,0.8205486
