No, Time, GPS Latitude, GPS Longitude, GPS Accuracy, Speed
0,1.16773E+15,-33.91794667,151.231395,3,0
1,1.16773E+15,-33.91794719,151.2313947,4,0
2,1.16773E+15,-33.91794105,151.2313984,4,0.4809366
3,1.16773E+15,-33.91792967,151.2313645,5,0.8888757
4,1.16773E+15,-33.91792603,151.2313348,5,1.1407015
5,1.16774E+15,-33.91792053,151.2313233,4,1.0911462
6,1.16774E+15,-33.91791825,151.2313087,4,1.118794
7,1.16774E+15,-33.91792053,151.2312969,4,1.046948
8,1.16774E+15,-33.91791601,151.2312776,4,1.1475626
9,1.16774E+15,-33.91791482,151.2312599,4,1.2557468
10,1.16774E+15,-33.91791137,151.2312442,4,1.23
11,1.16774E+15,-33.91791544,151.2312302,3,1.2578156
12,1.16774E+15,-33.91791524,151.2312162,3,1.3006152
13,1.16774E+15,-33.91791541,151.2312019,3,1.295222
14,1.16774E+15,-33.91791445,151.2311847,3,1.5400324
15,1.16775E+15,-33.91791315,151.231167,3,1.4016062
16,1.16775E+15,-33.91791112,151.2311522,3,1.220164
17,1.16775E+15,-33.91790951,151.2311367,3,1.3701459
18,1.16775E+15,-33.91790814,151.231123,3,1.0785638
19,1.16775E+15,-33.91790759,151.2311126,3,0.9047652
20,1.16775E+15,-33.91790789,151.2311015,3,1.002846
21,1.16775E+15,-33.91790809,151.2310862,3,1.3613229
22,1.16775E+15,-33.91790767,151.2310671,3,1.5302941
23,1.16775E+15,-33.91790446,151.2310475,3,1.5326447
24,1.16775E+15,-33.91790181,151.2310299,3,1.2925943
25,1.16776E+15,-33.91790088,151.2310138,3,1.2218839
26,1.16776E+15,-33.91790078,151.2309977,3,1.25004
27,1.16776E+15,-33.91790086,151.2309829,3,1.1268096
28,1.16776E+15,-33.91790011,151.2309693,3,1.1374093
29,1.16776E+15,-33.91789945,151.2309546,3,1.1428035
30,1.16776E+15,-33.91789871,151.2309383,3,1.3098091
31,1.16776E+15,-33.91789846,151.2309206,3,1.3485177
32,1.16776E+15,-33.91789876,151.2309036,3,1.2059851
33,1.16776E+15,-33.9178989,151.2308871,3,1.224949
34,1.16776E+15,-33.91789869,151.2308712,3,1.4901342
35,1.16777E+15,-33.91789813,151.2308547,3,1.3594484
36,1.16777E+15,-33.91789798,151.2308382,3,1.4721754
37,1.16777E+15,-33.91789703,151.2308237,3,1.014002
38,1.16777E+15,-33.91789499,151.2308107,3,1.1834272
39,1.16777E+15,-33.91789204,151.2307973,3,1.2358398
40,1.16777E+15,-33.91788984,151.2307833,3,1.2362847
41,1.16777E+15,-33.91788816,151.2307696,3,1.2332883
42,1.16777E+15,-33.91788615,151.230756,3,1.2358398
43,1.16777E+15,-33.91788301,151.2307431,3,1.1806778
44,1.16777E+15,-33.9178793,151.2307308,3,1.2206556
45,1.16778E+15,-33.91787579,151.2307179,3,1.2453514
46,1.16778E+15,-33.9178723,151.2307051,3,1.2340584
47,1.16778E+15,-33.91786962,151.2306933,3,1.0623088
48,1.16778E+15,-33.91786776,151.2306812,3,1.1801695
49,1.16778E+15,-33.91786487,151.2306685,3,1.188276
50,1.16778E+15,-33.91786091,151.2306554,3,1.2000417
51,1.16778E+15,-33.91785713,151.2306428,3,1.0667708
52,1.16778E+15,-33.91785388,151.2306309,3,1.1727744
53,1.16778E+15,-33.91785165,151.2306172,3,1.2226201
54,1.16778E+15,-33.91785016,151.2306049,3,0.9317189
55,1.16779E+15,-33.91784839,151.2305924,3,1.1715374
56,1.16779E+15,-33.91784531,151.2305809,3,0.9400532
57,1.16779E+15,-33.91784173,151.2305708,3,1.00005
58,1.16779E+15,-33.9178382,151.2305593,3,1.1692733
59,1.16779E+15,-33.91783509,151.2305504,3,0.81437093
60,1.16779E+15,-33.91782952,151.2305444,3,0.95
61,1.16779E+15,-33.91782592,151.2305422,3,0.3671512
62,1.16779E+15,-33.91782536,151.2305438,3,0.30805844
63,1.16779E+15,-33.91782915,151.2305486,3,0
64,1.16779E+15,-33.91783228,151.2305501,3,0.19
