No, Time, GPS Latitude, GPS Longitude, GPS Accuracy, Speed
0,1.16841E+15,-33.91779904,151.2304489,9,0
1,1.16842E+15,-33.91779813,151.2304501,9,0
2,1.16842E+15,-33.91779753,151.2304578,9,0.63
3,1.16842E+15,-33.91779613,151.2304697,8,0.8982205
4,1.16842E+15,-33.91779774,151.2304836,8,1.3738267
5,1.16842E+15,-33.91780031,151.2305004,8,1.6101242
6,1.16842E+15,-33.91780089,151.2305171,8,1.1970798
7,1.16842E+15,-33.91780275,151.2305341,7,1.4236923
8,1.16842E+15,-33.91780351,151.2305516,7,1.261507
9,1.16842E+15,-33.91780196,151.2305667,7,0.77
10,1.16842E+15,-33.91780258,151.2305813,7,1.2907751
11,1.16843E+15,-33.91780465,151.2305978,7,1.3017297
12,1.16843E+15,-33.91780878,151.2306155,7,1.3303384
13,1.16843E+15,-33.91781099,151.2306352,6,1.3951702
14,1.16843E+15,-33.91781121,151.2306524,6,0.98234415
15,1.16843E+15,-33.91780994,151.2306685,5,1.0510947
16,1.16843E+15,-33.91780945,151.2306849,5,1.0801852
17,1.16843E+15,-33.91780912,151.2307035,5,1.3110682
18,1.16843E+15,-33.91780881,151.2307224,4,1.2513193
19,1.16843E+15,-33.91780871,151.2307409,4,1.3218548
20,1.16843E+15,-33.91780942,151.2307587,4,1.20204
21,1.16844E+15,-33.91780997,151.2307751,4,1.1029053
22,1.16844E+15,-33.91781164,151.2307898,3,0.98234415
23,1.16844E+15,-33.91781386,151.2308036,3,1.0065783
24,1.16844E+15,-33.91781729,151.2308197,3,1.2756567
25,1.16844E+15,-33.91782125,151.2308377,3,1.3678086
26,1.16844E+15,-33.91782532,151.230856,3,1.3606616
27,1.16844E+15,-33.91783015,151.230874,3,1.3603309
28,1.16844E+15,-33.91783501,151.2308923,3,1.3652838
29,1.16844E+15,-33.91783997,151.2309104,3,1.382317
30,1.16844E+15,-33.91784517,151.2309277,3,1.2806249
31,1.16845E+15,-33.91785138,151.2309439,3,1.3600368
32,1.16845E+15,-33.91785695,151.2309613,3,1.4611298
33,1.16845E+15,-33.91786239,151.2309769,3,1.2006665
34,1.16845E+15,-33.91786661,151.2309916,3,1.2587693
35,1.16845E+15,-33.91786932,151.2310087,3,1.5200329
36,1.16845E+15,-33.91787235,151.2310268,3,1.4375325
37,1.16845E+15,-33.917875,151.2310413,3,0.90271807
38,1.16845E+15,-33.91787532,151.2310529,3,0.97308785
39,1.16845E+15,-33.91787564,151.2310663,3,1.067052
40,1.16845E+15,-33.91787728,151.231082,3,1.372771
41,1.16846E+15,-33.9178784,151.2310959,3,0.98351413
42,1.16846E+15,-33.91787866,151.2311085,3,1.0993179
43,1.16846E+15,-33.91787701,151.2311214,3,1.1001818
44,1.16846E+15,-33.91787375,151.2311343,4,1.020441
45,1.16846E+15,-33.91786948,151.2311476,4,1.3618003
46,1.16846E+15,-33.91786485,151.2311589,4,1.1183022
47,1.16846E+15,-33.91786041,151.2311673,4,0.8472308
48,1.16846E+15,-33.91785717,151.2311746,4,0.82097507
49,1.16846E+15,-33.91785352,151.2311834,4,1.1667476
50,1.16846E+15,-33.91785025,151.2311942,4,1.1421472
51,1.16847E+15,-33.91784887,151.2312053,4,1.163615
52,1.16847E+15,-33.91784948,151.2312185,4,1.1200447
53,1.16847E+15,-33.91785124,151.2312352,4,1.5516765
54,1.16847E+15,-33.91785486,151.2312517,3,1.3324039
55,1.16847E+15,-33.91785989,151.2312656,3,1.2210243
56,1.16847E+15,-33.91786496,151.2312785,3,1.2210243
57,1.16847E+15,-33.91787026,151.2312921,3,1.342386
58,1.16847E+15,-33.9178755,151.231306,3,1.3103434
59,1.16847E+15,-33.91787993,151.2313172,3,0.8714356
60,1.16847E+15,-33.91788454,151.2313286,3,1.1800424
61,1.16848E+15,-33.91788911,151.2313414,3,1.2416924
62,1.16848E+15,-33.91789319,151.2313551,3,1.2819126
63,1.16848E+15,-33.91789543,151.2313682,3,1.0955365
64,1.16848E+15,-33.91789837,151.2313809,3,1.23
65,1.16848E+15,-33.91790042,151.2313941,3,1.2205327
66,1.16848E+15,-33.91790199,151.231408,3,1.2400403
67,1.16848E+15,-33.9179043,151.2314211,3,1.1825819
68,1.16848E+15,-33.91790723,151.2314337,3,1.1795762
69,1.16848E+15,-33.91791079,151.2314471,3,1.2803515
70,1.16848E+15,-33.9179129,151.2314612,3,1.200375
71,1.16849E+15,-33.9179144,151.2314748,3,1.200375
72,1.16849E+15,-33.91791455,151.231489,3,1.2149898
73,1.16849E+15,-33.91791382,151.2315035,3,1.2317873
74,1.16849E+15,-33.91791405,151.231517,3,1.0900459
75,1.16849E+15,-33.91791473,151.2315302,3,1.1720921
76,1.16849E+15,-33.91791544,151.2315436,3,1.1606895
77,1.16849E+15,-33.91791634,151.2315569,3,1.19105
78,1.16849E+15,-33.9179167,151.2315679,3,0.87281156
79,1.16849E+15,-33.91791757,151.2315793,3,1.1615506
80,1.16849E+15,-33.91791831,151.2315922,3,1.1064358
81,1.1685E+15,-33.91791875,151.2316041,3,1.0720074
82,1.1685E+15,-33.91791813,151.2316143,3,0.8614523
83,1.1685E+15,-33.91791688,151.2316204,3,0.34785056
84,1.1685E+15,-33.91791692,151.2316199,3,0
85,1.1685E+15,-33.91791851,151.2316187,3,0
86,1.1685E+15,-33.91791975,151.2316172,3,0
87,1.1685E+15,-33.91792122,151.2316156,3,0
88,1.1685E+15,-33.9179244,151.2316145,3,0
89,1.1685E+15,-33.91792756,151.2316133,3,0
