No, Time, GPS Latitude, GPS Longitude, GPS Accuracy, Speed
0,1.16811E+15,-33.91783541,151.2306359,5,0
1,1.16811E+15,-33.91782778,151.2306323,5,0.38013157
2,1.16811E+15,-33.91782419,151.2306341,5,0.76321685
3,1.16811E+15,-33.91782285,151.2306373,5,0.64
4,1.16812E+15,-33.91782255,151.230639,5,0.55036354
5,1.16812E+15,-33.91782325,151.2306455,5,1.4221462
6,1.16812E+15,-33.91782351,151.2306561,5,1.3692698
7,1.16812E+15,-33.91782265,151.2306642,5,1.0507616
8,1.16812E+15,-33.91782195,151.2306736,5,1.3609189
9,1.16812E+15,-33.9178209,151.2306885,6,1.7514565
10,1.16812E+15,-33.91782001,151.2307036,6,1.5021318
11,1.16812E+15,-33.91781993,151.2307159,7,1.2100414
12,1.16812E+15,-33.91782039,151.2307276,6,1.320341
13,1.16812E+15,-33.91782208,151.2307411,6,1.3810141
14,1.16813E+15,-33.91782356,151.2307565,6,1.4259382
15,1.16813E+15,-33.91782424,151.23077,6,1.2226201
16,1.16813E+15,-33.91782529,151.2307828,5,1.1229426
17,1.16813E+15,-33.91782521,151.2307955,4,1.2083874
18,1.16813E+15,-33.91782629,151.2308099,4,1.3313527
19,1.16813E+15,-33.91782817,151.2308205,4,0.88865066
20,1.16813E+15,-33.91783079,151.2308305,4,1.1108556
21,1.16813E+15,-33.91783372,151.2308429,4,1.3324039
22,1.16813E+15,-33.91783547,151.2308551,3,1.200375
23,1.16813E+15,-33.91783716,151.2308678,3,1.2519585
24,1.16814E+15,-33.91783939,151.230881,3,1.2362847
25,1.16814E+15,-33.91784252,151.2308945,3,1.2103719
26,1.16814E+15,-33.91784556,151.2309091,3,1.321363
27,1.16814E+15,-33.91784835,151.2309245,3,1.380145
28,1.16814E+15,-33.91785172,151.2309397,3,1.372953
29,1.16814E+15,-33.91785448,151.2309545,3,1.2358398
30,1.16814E+15,-33.91785733,151.2309681,3,1.1901681
31,1.16814E+15,-33.91786093,151.2309819,3,1.3449535
32,1.16814E+15,-33.91786518,151.2309963,3,1.2212288
33,1.16814E+15,-33.91786908,151.2310094,3,1.2041595
34,1.16815E+15,-33.91787327,151.2310208,3,0.94260275
35,1.16815E+15,-33.917877,151.2310286,3,0.73756355
36,1.16815E+15,-33.91787999,151.2310369,3,0.9078546
37,1.16815E+15,-33.91788314,151.2310454,3,0.74464756
38,1.16815E+15,-33.91788498,151.2310518,3,0.8832327
39,1.16815E+15,-33.91788613,151.2310592,3,0.83528435
40,1.16815E+15,-33.91788572,151.2310685,3,0.9489468
41,1.16815E+15,-33.91788352,151.231079,4,0.84852815
42,1.16815E+15,-33.91788177,151.2310932,4,1.224949
43,1.16815E+15,-33.91788128,151.2311082,4,0.8814193
44,1.16816E+15,-33.91788336,151.2311162,5,0.6132699
45,1.16816E+15,-33.91788443,151.2311221,5,0.48600408
46,1.16816E+15,-33.91788572,151.2311293,5,0.5964059
47,1.16816E+15,-33.91788571,151.2311372,5,0.6296825
48,1.16816E+15,-33.917884,151.231146,5,0.6700746
49,1.16816E+15,-33.9178835,151.2311534,5,0.43462628
50,1.16816E+15,-33.91788321,151.2311599,5,0.35128334
51,1.16816E+15,-33.91788476,151.2311665,5,0.47927028
52,1.16816E+15,-33.91788542,151.2311751,5,0.7860025
53,1.16816E+15,-33.91788427,151.2311876,5,1.0948058
54,1.16817E+15,-33.91788377,151.2312016,5,1.1072488
55,1.16817E+15,-33.9178838,151.2312148,5,1.0480934
56,1.16817E+15,-33.91788613,151.2312248,5,0.7892401
57,1.16817E+15,-33.91788731,151.2312355,5,1.0429286
58,1.16817E+15,-33.91788966,151.2312471,5,0.99297535
59,1.16817E+15,-33.91789234,151.2312581,5,0.92444575
60,1.16817E+15,-33.91789301,151.231269,5,0.92195445
61,1.16817E+15,-33.91789335,151.2312816,5,1.0829589
62,1.16817E+15,-33.91789352,151.231295,5,1.0656922
63,1.16817E+15,-33.91789348,151.2313102,5,1.2701575
64,1.16818E+15,-33.91789372,151.2313242,5,1.0062306
65,1.16818E+15,-33.91789469,151.2313377,5,1.1462984
66,1.16818E+15,-33.91789332,151.2313522,5,1.1493477
67,1.16818E+15,-33.91789239,151.2313688,5,1.2826924
68,1.16818E+15,-33.91789096,151.2313839,5,1.0507616
69,1.16818E+15,-33.91788949,151.2313965,5,0.95336246
70,1.16818E+15,-33.91788983,151.2314077,4,0.7787811
71,1.16818E+15,-33.91788996,151.2314193,4,0.84154624
72,1.16818E+15,-33.91789014,151.2314315,4,0.90271807
73,1.16818E+15,-33.91789121,151.2314442,4,0.8348652
74,1.16819E+15,-33.91789197,151.2314559,4,0.84770274
75,1.16819E+15,-33.91789386,151.231469,4,1.0787028
76,1.16819E+15,-33.91789599,151.2314813,4,0.9211406
77,1.16819E+15,-33.91789835,151.2314912,4,0.79202276
78,1.16819E+15,-33.91789924,151.231502,4,0.9390421
79,1.16819E+15,-33.91789841,151.2315125,5,0.8052329
80,1.16819E+15,-33.91789927,151.2315195,4,0.4876474
81,1.16819E+15,-33.91790064,151.2315278,4,0.92439175
82,1.16819E+15,-33.91790212,151.2315374,4,0.7353911
83,1.16819E+15,-33.91790302,151.2315444,5,0.89
84,1.1682E+15,-33.91790277,151.2315521,5,0.8324061
85,1.1682E+15,-33.91790217,151.2315604,4,0.90686274
86,1.1682E+15,-33.91789875,151.2315664,4,0.986002
87,1.1682E+15,-33.91789941,151.2315675,4,0
88,1.1682E+15,-33.91789946,151.2315673,4,0
89,1.1682E+15,-33.91789991,151.2315723,5,0.61846584
90,1.1682E+15,-33.91790097,151.2315768,5,0
91,1.1682E+15,-33.91790176,151.231578,5,0
