No, Time, GPS Latitude, GPS Longitude, GPS Accuracy, Speed
0,213881.550253889,-33.9177499,151.23047892,12.0,0.18788294
1,213882.545934613,-33.91773248,151.23047749,10.0,0.0
2,213883.549413306,-33.91772451,151.2304753,8.0,0.15
3,213884.553873407,-33.91771659,151.23046805,7.0,0.0
4,213885.550451006,-33.91772304,151.23045966,6.0,0.0
5,213886.552623658,-33.9177278,151.23045839,6.0,0.33526108
6,213887.563393185,-33.9177334,151.2304619,7.0,0.6207254
7,213888.561452452,-33.91774023,151.23047086,7.0,1.1315918
8,213889.55454229,-33.91774842,151.23048218,7.0,1.1007271
9,213890.556111661,-33.9177567,151.230492,8.0,1.0104455
10,213891.55394025,-33.91776383,151.23050198,10.0,1.034843
11,213892.554863683,-33.91777125,151.23051419,10.0,1.0900459
12,213893.555338626,-33.91777843,151.23052517,8.0,1.2240915
13,213894.554692215,-33.91778496,151.23053776,7.0,1.0369667
14,213895.551905648,-33.91779168,151.23055279,7.0,1.3601471
15,213896.552832623,-33.91779866,151.23056767,7.0,1.09
16,213897.554077514,-33.91780241,151.23058046,7.0,0.8450444
17,213898.556164853,-33.91780552,151.2305964,6.0,0.99201816
18,213899.558498755,-33.91780866,151.23061558,5.0,1.3223085
19,213900.559131928,-33.9178112,151.23063555,5.0,1.0196568
20,213901.557145569,-33.91781455,151.23065587,5.0,1.4816545
21,213902.555120616,-33.91781873,151.23067806,6.0,1.550516
22,213903.555086081,-33.91782402,151.23069784,7.0,1.3405969
23,213904.554076545,-33.91783026,151.23071416,7.0,1.2397581
24,213905.551257061,-33.91783611,151.23072631,6.0,1.2233152
25,213906.551826744,-33.91784107,151.23073282,6.0,1.0381714
26,213907.555261115,-33.91784657,151.23074133,6.0,1.1800424
27,213908.55579986,-33.91785261,151.23075185,7.0,1.1603879
28,213909.55561746,-33.91785997,151.23076346,7.0,1.2319902
29,213910.553457194,-33.91786604,151.23077855,6.0,1.2557468
30,213911.551795575,-33.91786862,151.23079447,6.0,1.0881176
31,213912.557743644,-33.91786611,151.23081294,6.0,1.2744019
32,213913.556504264,-33.91786381,151.2308283,6.0,1.0192153
33,213914.556478583,-33.91786271,151.2308408,6.0,1.0358571
34,213915.555536286,-33.91786273,151.23085379,6.0,0.8902247
35,213916.55278623,-33.91786317,151.23086868,5.0,1.1827087
36,213917.555020444,-33.91786341,151.23088413,5.0,0.98979795
37,213918.554566741,-33.91786339,151.23090012,5.0,1.1761377
38,213919.557729341,-33.91786292,151.23091431,6.0,0.97867256
39,213920.555610951,-33.91786349,151.23092763,7.0,1.0904129
