No, Time, GPS Latitude, GPS Longitude, GPS Accuracy, Speed
0,214019.541505187,-33.91797847,151.23162111,17.0,0.0
1,214020.546529037,-33.91798121,151.23162052,14.0,0.0
2,214021.547749189,-33.91798309,151.23161988,9.0,0.0
3,214022.546803351,-33.91798734,151.2316148,8.0,0.4119466
4,214023.553436889,-33.91798729,151.23160706,8.0,0.55
5,214024.559535114,-33.91798658,151.23159434,8.0,0.87005746
6,214025.555870838,-33.91798565,151.23157608,7.0,1.0600471
7,214026.556029115,-33.91798448,151.23155597,6.0,1.2747549
8,214027.555604371,-33.91798465,151.23153686,6.0,0.89269257
9,214028.552964679,-33.91798592,151.23151898,6.0,1.0259142
10,214029.555920508,-33.91798874,151.23150082,6.0,1.2781627
11,214030.55598743,-33.91799148,151.23148197,5.0,1.2010412
12,214031.551970759,-33.91799478,151.23146421,5.0,1.2801563
13,214032.550807473,-33.91799725,151.23144616,4.0,1.2924782
14,214033.555238719,-33.91799963,151.23142829,4.0,1.2701575
15,214034.55683361,-33.91800078,151.23141058,4.0,1.2300407
16,214035.55788522,-33.91800103,151.23139283,4.0,1.2606348
17,214036.553695163,-33.91800049,151.23137596,4.0,1.220041
18,214037.559997607,-33.91799914,151.23135946,4.0,1.179025
19,214038.561394738,-33.91799744,151.2313432,4.0,1.3809055
20,214039.560416817,-33.9179966,151.23132738,4.0,1.1307077
21,214040.554768687,-33.91799571,151.23131251,4.0,1.2806249
22,214041.554922224,-33.9179939,151.23129724,4.0,1.16
23,214042.556358678,-33.91799301,151.23128411,4.0,0.9802041
24,214043.557029819,-33.91799245,151.23127063,4.0,1.1801695
25,214044.552817939,-33.9179906,151.23125554,4.0,1.2403629
26,214045.549472934,-33.91798874,151.23124058,3.0,1.2606348
27,214046.55412642,-33.91798627,151.2312253,3.0,1.2220066
28,214047.551807561,-33.91798367,151.2312106,3.0,1.1421471
29,214048.553338858,-33.91798229,151.23119706,3.0,1.0656922
30,214049.557240729,-33.91798116,151.23118389,3.0,1.0139034
31,214050.555145568,-33.91797916,151.23117081,3.0,0.9575489
32,214051.553446293,-33.91797625,151.23115652,3.0,1.161077
33,214052.558558997,-33.91797236,151.23114126,3.0,1.2033703
34,214053.555333836,-33.91796785,151.23112785,3.0,1.0901835
35,214054.552431748,-33.91796419,151.23111504,3.0,1.1101801
36,214055.549940962,-33.91796108,151.23110213,3.0,1.0060318
37,214056.550641895,-33.91795953,151.23109053,3.0,0.96772933
38,214057.557720953,-33.91795833,151.23108015,3.0,0.74966663
39,214058.561602199,-33.91795585,151.23107059,3.0,1.0070254
40,214059.558260007,-33.91795261,151.23106158,3.0,0.7829431
41,214060.561683648,-33.91794845,151.23105239,3.0,0.95126235
42,214061.554885154,-33.91794351,151.23104216,3.0,0.9489468
43,214062.553940566,-33.91793819,151.23103282,3.0,0.9272001
44,214063.553774207,-33.91793174,151.23102411,3.0,1.0004499
45,214064.553526598,-33.91792471,151.23101518,3.0,1.020196
46,214065.553399667,-33.91791632,151.23100608,3.0,1.1701709
47,214066.555393204,-33.91790827,151.23099698,3.0,1.12
48,214067.554072001,-33.91790114,151.23098785,3.0,1.14
49,214068.556001737,-33.91789476,151.23097793,3.0,1.0401922
50,214069.556088451,-33.91789062,151.23096799,3.0,0.9613012
51,214070.558403551,-33.91788779,151.23095755,3.0,0.8809086
52,214071.559306307,-33.91788559,151.23094654,3.0,0.84095186
53,214072.559474948,-33.91788432,151.23093557,3.0,0.89269257
54,214073.560995516,-33.9178829,151.23092413,3.0,0.96690226
55,214074.558067751,-33.91788165,151.23091345,3.0,0.7472617
56,214075.555999621,-33.91787992,151.23090371,3.0,0.81215763
57,214076.55942519,-33.91787667,151.23089307,3.0,0.9364828
58,214077.555301695,-33.91787031,151.23088183,3.0,1.0801852
59,214078.55448643,-33.91786352,151.23087119,3.0,0.95257545
60,214079.554172936,-33.91785666,151.23086267,3.0,0.9304837
61,214080.552860015,-33.91785045,151.23085388,3.0,0.9338094
