No, Time, GPS Latitude, GPS Longitude, GPS Accuracy, Speed
0,213397.322455174,-33.91779115,151.23043322,18.0,0.0
1,213398.324265587,-33.91778915,151.23043469,17.0,0.0
2,213399.323727561,-33.91778718,151.23043593,14.0,0.0
3,213400.321560994,-33.91778649,151.23043636,13.0,0.0
4,213401.325848646,-33.9177825,151.23044182,12.0,0.01
5,213402.326681975,-33.9177844,151.23044231,9.0,0.24
6,213403.326145252,-33.91778481,151.23044587,8.0,0.27
7,213404.32837832,-33.91778576,151.23045398,7.0,0.8005623
8,213405.320974773,-33.91779003,151.23046504,7.0,0.839345
9,213406.30981857,-33.91779819,151.23047785,6.0,1.1706835
10,213407.310216951,-33.91779975,151.23049645,6.0,1.2803515
11,213408.312464967,-33.91780214,151.23051439,6.0,1.2461541
12,213409.311408765,-33.91780788,151.23053105,5.0,1.2218429
13,213410.313944177,-33.91781135,151.23054374,6.0,0.86492777
14,213411.320874434,-33.91781689,151.23055541,6.0,1.142716
15,213412.332148128,-33.91782179,151.23056856,5.0,1.0112369
16,213413.328327238,-33.91782426,151.23058388,6.0,1.2300407
17,213414.329156712,-33.91782589,151.2306002,5.0,1.1497827
18,213415.328110249,-33.91782827,151.23061635,5.0,1.1715374
19,213416.330596651,-33.91783132,151.23063383,4.0,1.3603309
20,213417.330841803,-33.91783548,151.23064812,5.0,0.96881366
21,213418.331649819,-33.91784045,151.23066326,4.0,1.2517189
22,213419.326343304,-33.91784595,151.23067848,4.0,1.1085577
23,213420.331091737,-33.91785158,151.2306935,5.0,1.0493808
24,213421.33113991,-33.91785674,151.23070562,5.0,0.7338937
25,213422.329616468,-33.917862,151.23071939,4.0,1.0837436
26,213424.328469688,-33.91786886,151.23075081,4.0,1.1751596
27,213425.329603694,-33.91787111,151.23076684,4.0,1.1116204
28,213426.328997543,-33.91787323,151.23078382,3.0,1.2448695
29,213427.327056913,-33.91787547,151.23080004,3.0,0.99985
30,213428.330036961,-33.91787684,151.23081576,3.0,1.0756394
31,213429.331022113,-33.91787872,151.23083046,3.0,0.98005104
32,213430.328550181,-33.91788102,151.23084456,3.0,0.95900995
33,213431.330600541,-33.9178839,151.23085955,3.0,1.1485643
34,213432.328126318,-33.91788681,151.23087504,3.0,1.0704205
35,213433.325215636,-33.91788813,151.23088963,3.0,1.1435472
36,213434.324964902,-33.91788927,151.23090531,3.0,1.161077
37,213435.328852086,-33.91788973,151.23091905,4.0,0.9502105
38,213436.337690832,-33.91789146,151.23093216,3.0,1.2014991
39,213437.334980723,-33.91789328,151.23094573,3.0,0.9518928
40,213438.329701864,-33.91789489,151.23095748,3.0,0.9024966
41,213439.327353421,-33.91789473,151.2309682,3.0,0.845281
42,213440.329939667,-33.91789419,151.23098005,3.0,1.040048
43,213441.332413673,-33.91789409,151.23099234,3.0,0.93941474
44,213442.326595387,-33.91789379,151.23100558,3.0,1.1720921
45,213443.323295382,-33.91789383,151.23101964,3.0,1.161809
46,213444.32739819,-33.91789504,151.23103312,3.0,1.1011358
47,213445.325521102,-33.91789696,151.2310469,3.0,1.1228535
48,213446.327414796,-33.91789773,151.23106201,3.0,1.362351
49,213447.331270208,-33.91789868,151.23107653,3.0,0.98249686
50,213448.333661194,-33.91789816,151.2310899,3.0,1.1047624
51,213449.331354418,-33.9178964,151.23110027,4.0,0.93723
52,213450.334432226,-33.9178923,151.23111117,3.0,1.2709446
53,213451.330444565,-33.91788628,151.23112251,3.0,1.1214722
54,213452.326595758,-33.91788484,151.23112936,3.0,0.45607018
55,213453.323073774,-33.91788719,151.23113428,3.0,0.5433231
56,213454.32995226,-33.91789049,151.23114096,3.0,0.6103278
57,213455.328694234,-33.91789394,151.23115148,3.0,1.0923828
58,213456.329658188,-33.91789885,151.23116418,3.0,1.26
59,213457.329369069,-33.9179037,151.23117517,3.0,1.0662551
60,213458.325689793,-33.9179088,151.23118622,3.0,1.1344161
61,213459.326424997,-33.91791104,151.23119747,3.0,1.1002728
62,213460.331629628,-33.91791119,151.23120946,3.0,1.14
63,213461.329275613,-33.917912,151.23122222,3.0,1.1634861
64,213462.327936129,-33.91791368,151.23123543,3.0,1.2127655
65,213463.330781229,-33.91791643,151.23124776,3.0,1.0800463
66,213464.329985027,-33.91791982,151.23125922,3.0,1.0904129
67,213465.332164658,-33.91792376,151.23127134,3.0,1.2093387
68,213466.327449497,-33.91792793,151.23128426,3.0,1.1827087
69,213467.326318606,-33.91793205,151.2312965,3.0,1.1253889
70,213468.3273523,-33.91793571,151.23130896,3.0,1.1022251
71,213469.3306824,-33.91793895,151.23132126,3.0,1.1307077
72,213470.329933489,-33.91794032,151.2313327,3.0,0.80399007
73,213471.327822078,-33.91794044,151.23134474,3.0,1.031746
74,213472.328539678,-33.91794116,151.2313578,3.0,0.97416633
75,213473.327749204,-33.91794177,151.23137184,3.0,1.0679419
76,213474.332862013,-33.91794165,151.23138597,3.0,0.9725225
77,213475.32951107,-33.9179409,151.23139819,3.0,0.72
78,213476.328921222,-33.9179397,151.23141091,3.0,1.0504284
79,213477.330043874,-33.91793865,151.2314256,3.0,1.104536
80,213478.329706057,-33.9179403,151.23143875,3.0,0.98493654
81,213479.331083032,-33.91794483,151.23144972,4.0,0.9037699
82,213480.331756465,-33.91794915,151.2314621,4.0,1.1107205
83,213481.328258283,-33.91795322,151.2314756,4.0,1.0850346
84,213482.325044996,-33.91795615,151.23148895,4.0,1.0312129
85,213484.327828321,-33.9179591,151.23151301,4.0,0.78006405
86,213485.327142483,-33.91796006,151.2315253,4.0,1.1244555
87,213486.326475447,-33.91796156,151.23153913,4.0,1.0601885
88,213487.323382005,-33.91796232,151.23155191,4.0,1.0192153
89,213488.324987469,-33.91796275,151.23156187,4.0,0.7793587
90,213489.329849705,-33.91796419,151.23157129,4.0,1.0575916
91,213490.330853606,-33.91796506,151.2315808,4.0,0.90553856
92,213491.32771157,-33.91796561,151.23158717,5.0,0.7430343
93,213492.324794847,-33.91796504,151.2315901,4.0,0.0
94,213493.329751718,-33.91796428,151.23159081,4.0,0.0
95,213494.326594525,-33.91796247,151.23159219,4.0,0.0
96,213495.324881343,-33.91796325,151.23159302,3.0,0.39458838
97,213496.325541079,-33.91796596,151.23159447,3.0,0.0
98,213497.325685137,-33.91796581,151.23159419,3.0,0.0
99,213498.326538882,-33.91796464,151.23159385,4.0,0.0
100,213499.329026742,-33.91796518,151.23159326,4.0,0.0
101,213500.322598404,-33.91796459,151.23159119,4.0,0.0
