No, Time, GPS Latitude, GPS Longitude, GPS Accuracy, Speed
0,1.16827E+15,-33.91797779,151.2315901,4,0
1,1.16827E+15,-33.91797765,151.23159,3,0
2,1.16827E+15,-33.91797881,151.231585,3,0.71
3,1.16827E+15,-33.91797867,151.2315762,3,1.15
4,1.16827E+15,-33.91797684,151.2315639,3,1.2103719
5,1.16827E+15,-33.91797623,151.2315506,3,1.2739309
6,1.16827E+15,-33.9179764,151.2315358,3,1.3861096
7,1.16827E+15,-33.91797694,151.2315197,3,1.3601471
8,1.16827E+15,-33.91797729,151.2315034,3,1.4117365
9,1.16827E+15,-33.91797903,151.2314855,3,1.6857343
10,1.16828E+15,-33.91798124,151.2314681,3,1.4003571
11,1.16828E+15,-33.91798198,151.2314546,3,1.0312129
12,1.16828E+15,-33.91798119,151.2314407,3,1.320341
13,1.16828E+15,-33.91797872,151.2314254,3,1.2839003
14,1.16828E+15,-33.91797617,151.2314107,3,1.2557468
15,1.16828E+15,-33.91797372,151.2313959,3,1.254472
16,1.16828E+15,-33.91797131,151.2313819,3,1.1531695
17,1.16828E+15,-33.91796904,151.2313701,3,0.9650907
18,1.16828E+15,-33.91796681,151.2313573,3,1.2035365
19,1.16828E+15,-33.91796436,151.2313427,3,1.2120231
20,1.16829E+15,-33.91796205,151.2313275,3,1.2
21,1.16829E+15,-33.91795942,151.2313123,3,1.2666886
22,1.16829E+15,-33.91795722,151.2312965,3,1.3046454
23,1.16829E+15,-33.91795529,151.2312803,3,1.3103434
24,1.16829E+15,-33.91795352,151.2312639,3,1.3013839
25,1.16829E+15,-33.91795185,151.2312467,3,1.3901439
26,1.16829E+15,-33.91795112,151.2312292,3,1.380145
27,1.16829E+15,-33.9179504,151.2312148,3,1.002846
28,1.16829E+15,-33.91794881,151.2312023,3,1.1516944
29,1.16829E+15,-33.91794487,151.2311876,3,1.38463
30,1.1683E+15,-33.91794064,151.2311731,3,1.1584904
31,1.1683E+15,-33.91793643,151.2311594,3,1.1985408
32,1.1683E+15,-33.91793274,151.2311453,3,1.2448695
33,1.1683E+15,-33.91792908,151.2311332,3,0.8658522
34,1.1683E+15,-33.91792535,151.2311254,3,0.54147947
35,1.1683E+15,-33.91792336,151.2311178,3,0.64884514
36,1.1683E+15,-33.91792164,151.2311054,3,1.342386
37,1.1683E+15,-33.91792206,151.2310909,3,1.322006
38,1.1683E+15,-33.91792264,151.2310777,3,1.0467569
39,1.1683E+15,-33.91792275,151.2310656,3,0.9259049
40,1.16831E+15,-33.91792123,151.2310519,4,1.1815244
41,1.16831E+15,-33.91791687,151.2310391,4,0.9885849
42,1.16831E+15,-33.9179108,151.2310278,4,1.0855874
43,1.16831E+15,-33.91790488,151.2310154,4,1.161077
44,1.16831E+15,-33.917899,151.2310019,4,1.2
45,1.16831E+15,-33.91789313,151.2309884,4,1.1994166
46,1.16831E+15,-33.91788842,151.2309744,4,1.19
47,1.16831E+15,-33.91788526,151.2309593,3,1.1860859
48,1.16831E+15,-33.91788361,151.2309442,3,1.1661904
49,1.16831E+15,-33.91788228,151.2309298,3,1.07
50,1.16832E+15,-33.91788088,151.2309148,3,1.2801563
51,1.16832E+15,-33.91788004,151.2308981,3,1.3013839
52,1.16832E+15,-33.91787914,151.2308823,3,1.1421471
53,1.16832E+15,-33.91787773,151.2308675,3,1.1842296
54,1.16832E+15,-33.91787568,151.2308528,3,1.2226201
55,1.16832E+15,-33.91787372,151.230838,3,1.28
56,1.16832E+15,-33.91787256,151.2308231,3,1.2000417
57,1.16832E+15,-33.91787183,151.230809,3,1.1562439
58,1.16832E+15,-33.91787078,151.2307949,3,1.1920571
59,1.16832E+15,-33.91786854,151.2307808,3,1.2379419
60,1.16833E+15,-33.91786598,151.2307669,3,1.2410077
61,1.16833E+15,-33.91786368,151.2307531,3,1.22
62,1.16833E+15,-33.91786134,151.2307381,3,1.3809055
63,1.16833E+15,-33.91785927,151.230723,3,1.263962
64,1.16833E+15,-33.91785821,151.2307092,3,1.1925184
65,1.16833E+15,-33.91785674,151.2306966,3,1.1101801
66,1.16833E+15,-33.91785443,151.2306844,3,1.0917876
67,1.16833E+15,-33.91785208,151.2306729,3,1.0522357
68,1.16833E+15,-33.91784904,151.230661,3,1.1204017
69,1.16833E+15,-33.91784642,151.2306481,3,1.1501739
70,1.16834E+15,-33.91784401,151.2306336,3,1.2666886
71,1.16834E+15,-33.91784209,151.2306185,3,1.2240915
72,1.16834E+15,-33.91783975,151.2306042,3,1.1503912
73,1.16834E+15,-33.91783729,151.2305902,3,1.2368509
74,1.16834E+15,-33.91783544,151.230576,3,1.1021798
75,1.16834E+15,-33.91783337,151.2305626,3,1.0801852
76,1.16834E+15,-33.91783029,151.2305498,3,1.0944405
77,1.16834E+15,-33.91782624,151.2305384,3,0.94
78,1.16834E+15,-33.91782043,151.2305275,3,1.1795338
79,1.16834E+15,-33.91781463,151.2305166,3,0.8814193
80,1.16835E+15,-33.91780851,151.2305075,3,1.0383159
81,1.16835E+15,-33.91780273,151.2304976,3,0.92
82,1.16835E+15,-33.91779925,151.2304898,3,0.41629317
83,1.16835E+15,-33.91779776,151.2304852,3,0.2915476
